item_id,ora_title,ora_author,ora_item_type,ora_origin_system,ora_origin_collection,ora_is_favorite,ora_total_chunks,ora_is_placeholder,cnt_content_v2,cnt_highlight_insight,cnt_pdf_chunk,cnt_ingested_files,cnt_index_state
17639472067948qqvxlkf8,1984,"Michael Dean, George Orwell",BOOK,ORACLE_NATIVE,TOMEHUB_CONTENT_AGG,1,0,0,1,0,1,0,1
1763696967350,"Advancing Racial Justice Research In Architecture, Urban Planning, and Allied Fields - Massachusetts Institute of Technology",Unknown Author,BOOK,ORACLE_NATIVE,TOMEHUB_CONTENT_AGG,0,1,0,1,1,0,0,1
5a98cecf-1de0-4b97-a1f5-4468c519538e,Ahlak felsefesi (Highlight),Unknown Author,BOOK,ORACLE_NATIVE,TOMEHUB_CONTENT_AGG,0,12,1,1,0,1,0,1
526c1ed7-2621-4eea-8341-d9c5ba1fde91,Akil Cagi (Highlight),Unknown Author,BOOK,ORACLE_NATIVE,TOMEHUB_CONTENT_AGG,0,3,1,1,0,1,0,1
cfc90581-5d9f-45bf-9e89-3d27df0a27f8,Altin Gözlü Kiz (Highlight),Unknown Author,BOOK,ORACLE_NATIVE,TOMEHUB_CONTENT_AGG,0,4,1,1,0,1,0,1
7712bfb9-dc6d-42d8-835d-33e4ee45a2e5,Antonius ve Kleopatra (Highlight),Unknown Author,BOOK,ORACLE_NATIVE,TOMEHUB_CONTENT_AGG,0,4,1,1,0,1,0,1
2506f72d-d39b-473a-9d36-4b07a71c71db,Belki yine gelirim (Highlight),Unknown Author,BOOK,ORACLE_NATIVE,TOMEHUB_CONTENT_AGG,0,4,1,1,0,1,0,1
a2c249fa-26f1-4170-a9ed-1ccecadce0d4,Binboğalar efsanesi (Highlight),Unknown Author,BOOK,ORACLE_NATIVE,TOMEHUB_CONTENT_AGG,0,5,1,1,0,1,0,1
9d32e8ca-a3b9-4b50-a229-c34e486f3e79,Bir Havva Kizi - Hasan Ali Yücel Klasikleri (Highlight),Unknown Author,BOOK,ORACLE_NATIVE,TOMEHUB_CONTENT_AGG,0,6,1,1,0,1,0,1
8a47233f-4ab5-4398-bd5f-5ce5a42de280,Caligula and Three Other Plays (Highlight),Unknown Author,BOOK,ORACLE_NATIVE,TOMEHUB_CONTENT_AGG,0,5,1,1,0,1,0,1
a43fd45d-ad96-4016-b29b-88a857aba1d0,Cekilme Sulari (Highlight),Unknown Author,BOOK,ORACLE_NATIVE,TOMEHUB_CONTENT_AGG,0,9,1,1,0,1,0,1
b3a3bde5-d049-49d0-ab2a-beedcde67c52,Daha Dun (Highlight),Unknown Author,BOOK,ORACLE_NATIVE,TOMEHUB_CONTENT_AGG,0,11,1,1,0,1,0,1
0014fc6b-d9a6-467e-ab97-1e0de629008b,Demian (Highlight),,BOOK,ORACLE_NATIVE,TOMEHUB_CONTENT_AGG,0,7,1,1,0,1,0,1
